Hs (m),1/1000 wave,2/1000 wave,3/1000 wave,4/1000 wave,5/1000 wave
0.5,1.396349091386856,1.213772103402401,1.1558647280412429,1.1262261780033878,1.0937607349945988
0.6,1.5342169067455043,1.4755407176759994,1.4488251379419004,1.4317594194660004,1.4008821893828767
0.7,1.9484203785626253,1.6696390491210613,1.6511409307602751,1.6417968009251969,1.5665125871348362
0.8,2.1561258519100366,2.094652920695048,2.0406597644224074,1.881690919803252,1.8552661802565251
