ID,Selection,Type,Toplayer,Permeability remarks,Geometry remarks,D,D/Bx,/D,cot ,m-10,SWL,z top,Hs,Tm-10,N,Hs/D,Damage,Updated damage,Reference
46,,CB,Rectangular blocks,,,0.1,0.4,3.0,3.5,1.56,3.62,5,0.32,2.5,1045,2.4,a,0,"Smith et al (2000), 20b07"
52,,CB,Rectangular blocks,Wide y-joints,On their side,0.2,2.0,0.9,3.5,1.56,4.55,5,0.43,2.9,1045,1.7,a,0,"Smith et al (2000), 23o1"
54,,CB,Rectangular blocks,Wide y-joints,On their side,0.2,2.0,2.5,3.5,1.56,4.97,5,1.33,5.0,1045,5.2,,a,"Smith et al (2000), 23o10"
56,,CB,Rectangular blocks,,On their side,0.5,2.0,0.9,3,1.63,4.69,5.45,1.55,4.9,20715,2.4,,a,"Klein Breteler et al (2005), T13-17"
57,,CB,Rectangular blocks,,On their side,0.5,2.0,0.9,3,2.13,4.91,5.45,1.57,6.4,15384,2.5,,a,"Klein Breteler et al (2005), T22-26"
75,,CB,Rectangular blocks,,On their side,0.2,2.0,4.1,3.5,1.57,4.9,6,0.64,3.5,1067,2.4,,a,"Klein Breteler et al (2005), 4931"
78,,CB,Rectangular blocks,,On their side,0.2,2.0,4.1,3.5,1.52,4,6,0.45,2.9,1314,1.7,,a,"Klein Breteler et al (2005), 4040"
101,,CB,Rectangular blocks,,,0.151,0.6,3.0,3,1.73,4.99,8.5,0.73,3.5,1179,3.5,,a,"Wouters (1991), 128"
102,,CB,Rectangular blocks,,,0.151,0.6,3.0,3,1.32,4.73,8.5,0.94,3.1,1000,4.5,,a,"Wouters (1991), 154"
103,,CB,Rectangular blocks,,,0.151,0.6,3.0,3,2.75,4.74,8.5,0.78,5.8,1000,3.7,,a,"Wouters (1991), 155"
104,,CB,Rectangular blocks,,,0.147,0.6,3.2,3,1.73,4.99,8.5,0.73,3.5,1179,3.7,,a,"Wouters (1991), 128"
105,,CB,Rectangular blocks,,,0.147,0.6,3.2,3,1.32,4.73,8.5,0.94,3.1,1000,4.7,,a,"Wouters (1991), 154"
106,,CB,Rectangular blocks,,,0.147,0.6,3.2,3,2.75,4.74,8.5,0.78,5.8,1000,3.9,,a,"Wouters (1991), 155"
107,,CB,Rectangular blocks,Geotextile under blocks,,0.15,0.3,6.0,3,1.86,4.77,8.5,0.40,2.8,1113,1.9,,a,"Wouters (1991), 248"
108,,CB,Rectangular blocks,Geotextile under blocks,,0.147,0.6,5.4,3,1.86,4.77,8.5,0.40,2.8,1113,2.0,,a,"Wouters (1991), 248"
109,,CB,Rectangular blocks,,,0.3,0.6,3.5,3,1.44,4.94,8.5,1.06,3.5,1123,2.6,,a,"Wouters (1991), 627"
125,,CB,Rectangular blocks,,,0.15,0.6,6.6,3,1.97,4.5,4.4,0.52,3.4,1111,2.6,,a,"Burger (1983), 30"
127,,CB,Rectangular blocks,,,0.15,0.6,6.6,3,1.79,4.5,4.4,0.49,3.0,1111,2.4,,a,"Burger (1983), 34"
129,,CB,Rectangular blocks,,,0.15,0.6,6.6,3,1.72,4.5,4.4,0.53,3.0,1111,2.6,,a,"Burger (1983), 38"
138,,CB,Rectangular blocks,,"Restrained 
x-movement",0.1,0.4,2.8,4,1.05,4.01,4.5,0.44,2.2,1000,3.1,,a,"Den Boer (1982), c.3.1-57"
150,,CB,Rectangular blocks,,Above SWL,0.1,0.5,1.6,3,1.76,4.54,5.49,1.1,4.4,1030,8.1,,a,"Van Steeg et al (2009), L4"
151,,CB,Rectangular blocks,,Above SWL,0.1,0.5,1.6,3,1.72,4.84,5.49,0.94,4.0,997,6.9,,a,"Van Steeg et al (2009), N3"
14,,CB,Rectangular blocks,Mine stone,,0.25,0.5,2.5,3.5,1.41,4,5,1.64,5.1,1045,4.7,,b,"Smith et al (2000), 5o06"
20,,CB,Rectangular blocks,Small joints,On their side,0.2,2.0,1.7,3.5,1.98,4.7,5,0.73,4.7,1045,2.8,,b,"Smith et al (2000), 12ao10"
26,,CB,Rectangular blocks,Wide x-joints,On their side,0.2,2.0,1.9,3.5,1.29,4.9,5,1.4,4.3,1045,5.3,,b,"Smith et al (2000), 12co4"
35,,CB,Rectangular blocks,Wide x-joints,On their side,0.2,2.0,2.1,3.5,1.60,4.92,5,1.25,5.0,1045,4.7,,b,"Smith et al (2000), 12cdo5"
40,,CB,Rectangular blocks,,,0.2,0.4,3.1,3.5,2.07,4.23,5,0.63,4.6,1045,2.4,b,a,"Smith et al (2000), 20a06"
41,,CB,Rectangular blocks,,,0.2,0.4,3.1,3.5,1.65,4.17,5,0.63,3.7,1045,2.4,,b,"Smith et al (2000), 20a07"
44,,CB,Rectangular blocks,,,0.1,0.4,3.0,3.5,1.59,4.58,5,0.42,2.9,1045,3.1,,b,"Smith et al (2000), 20b04"
47,,CB,Rectangular blocks,,,0.1,0.4,3.0,3.5,1.55,3.77,5,0.43,2.8,1045,3.2,,b,"Smith et al (2000), 20b09"
53,,CB,Rectangular blocks,Wide y-joints,On their side,0.2,2.0,0.9,3.5,1.60,4.55,5,0.52,3.2,1045,2.0,,b,"Smith et al (2000), 23o2"
131,,CB,Rectangular blocks,,"Restrained 
x-movement",0.15,0.6,4.7,4,1.00,3.99,4.5,0.69,2.7,1000,3.4,,b,"Den Boer (1982), c.1.1-6"
133,,CB,Rectangular blocks,,"Restrained 
x-movement",0.15,0.6,4.7,4,0.97,4.23,4.5,0.73,2.7,1000,3.6,,b,"Den Boer (1982), c.1.2-17"
135,,CB,Rectangular blocks,,"Restrained
x-movement",0.1,0.4,6.2,4,1.08,3.99,4.5,0.39,2.1,1000,2.8,,b,"Den Boer (1982), c.2.4-46"
